COD_CID;DESIG_CID;AREAFIN_M2;LATITUDE;LONGITUDE
0132;São Mamede de Infesta;5001076.244366918690503;41.191724875000034;-8.612395842999945
0133;Freamunde;7911995.224773061461747;41.294160471000055;-8.339839136999956
0134;Lagoa;2585153.112477272283286;37.137134279000065;-8.455182131999948
0135;Oliveira do Bairro;4696964.478623512201011;40.510241717000042;-8.488734492999981
0136;Mealhada;9988499.286117818206549;40.380881029000079;-8.442720218999966
0137;Serpa;5073423.544566596858203;37.942622916000062;-7.597805619999974
0138;Rebordosa;10762259.903759630396962;41.217555545000039;-8.413867409999966
0139;Lordelo;9758624.355423871427774;41.239613960000042;-8.422736675999943
0140;Gandra;11755194.034950232133269;41.188841393000075;-8.432364256999961
0141;Vila Nova de Santo André;4801148.820821769535542;38.058699257000058;-8.785815825999975
0142;Estarreja;9361342.039225080981851;40.761969812000075;-8.568692137999960
0143;Anadia;11610511.822703555226326;40.442897655000024;-8.442694535999976
0144;Reguengos de Monsaraz;4068494.551042220089585;38.425180548000071;-7.536930478999977
0145;Meda;3264251.587302050087601;40.964691460000040;-7.264607583999975
0146;Trancoso;3374193.749211200047284;40.774366451000049;-7.353105955999979
0147;Sabugal;2470582.428901108913124;40.350073866000059;-7.088863159999960
0148;Valbom;4387040.890267251059413;41.136546013000043;-8.561795937999932
0149;Costa da Caparica;4601708.472758231684566;38.643290373000070;-9.233592624999972
0150;Tarouca;2815527.702100138179958;41.018059325000024;-7.779932273999975
0152;Valença;12133911.735055692493916;42.023644572000080;-8.634415214999933
0153;São Pedro do Sul;2468481.842196819838136;40.760661473000027;-8.061865626999975
0154;Samora Correia;7175011.515208207070827;38.928276037000046;-8.861600008999972
0155;Senhora da Hora;3778405.387629858683795;41.185292209000067;-8.654160244999957
0156;Borba;1939286.078597600571811;38.805273129000057;-7.455902830999946
0157;Albergaria-a-Velha;4542139.313286829739809;40.689664349000054;-8.474872041999959
0158;Alfena;5244186.651157169602811;41.233517695000046;-8.529235445999973
