Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2021-12;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Masculino;<20;28;2021-12/<20/Masculino/Grande Porto VI - Porto Oriental
2021-12;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Masculino;35-49;8;2021-12/35-49/Masculino/Grande Porto VI - Porto Oriental
2021-12;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Feminino;50-64;12;2021-12/50-64/Feminino/Grande Porto VI - Porto Oriental
2021-12;Norte;Grande Porto VII - Gaia;41.1278433,-8.580396;Masculino;50-64;76;2021-12/50-64/Masculino/Grande Porto VII - Gaia
2021-12;Norte;Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;Masculino;20-34;9;2021-12/20-34/Masculino/Grande Porto VIII - Espinho/Gaia
2021-12;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Masculino;65 e +;122;2021-12/65 e +/Masculino/Entre Douro e Vouga I - Feira/Arouca
2021-12;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Feminino;20-34;60;2021-12/20-34/Feminino/Entre Douro e Vouga I - Feira/Arouca
2021-12;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Masculino;<20;133;2021-12/<20/Masculino/Entre Douro e Vouga II - Aveiro Norte
2021-12;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Feminino;20-34;126;2021-12/20-34/Feminino/Entre Douro e Vouga II - Aveiro Norte
2021-12;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Feminino;50-64;423;2021-12/50-64/Feminino/Entre Douro e Vouga II - Aveiro Norte
2021-12;Norte;ULS do Alto Minho;41.7056054,-8.8252713;Masculino;65 e +;3;2021-12/65 e +/Masculino/ULS do Alto Minho
2021-12;Norte;ULS do Alto Minho;41.7056054,-8.8252713;Feminino;35-49;1;2021-12/35-49/Feminino/ULS do Alto Minho
2021-12;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Masculino;20-34;23;2021-12/20-34/Masculino/ULS de Matosinhos
2021-12;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Feminino;35-49;61;2021-12/35-49/Feminino/ULS de Matosinhos
2021-12;Centro;Pinhal Interior Sul;39.7510898,-7.9203657;Masculino;20-34;8;2021-12/20-34/Masculino/Pinhal Interior Sul
2021-12;Centro;Pinhal Interior Sul;39.7510898,-7.9203657;Feminino;<20;13;2021-12/<20/Feminino/Pinhal Interior Sul
2021-12;Centro;Dão e Lafões;40.6565861,-7.9124712;Masculino;50-64;125;2021-12/50-64/Masculino/Dão e Lafões
2021-12;Centro;Dão e Lafões;40.6565861,-7.9124712;Feminino;<20;78;2021-12/<20/Feminino/Dão e Lafões
2021-12;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Masculino;35-49;50;2021-12/35-49/Masculino/Lisboa Central
2021-12;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Masculino;<20;6;2021-12/<20/Masculino/Lisboa Ocidental e Oeiras
2021-12;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;<20;79;2021-12/<20/Masculino/Loures-Odivelas
2021-12;Lisboa e Vale do Tejo;Sintra;38.7519209,-9.2753636;Masculino;20-34;1;2021-12/20-34/Masculino/Sintra
2021-12;Lisboa e Vale do Tejo;Sintra;38.7519209,-9.2753636;Feminino;50-64;29;2021-12/50-64/Feminino/Sintra
2021-12;Lisboa e Vale do Tejo;Cascais;38.69904,-9.3818008;Masculino;65 e +;11;2021-12/65 e +/Masculino/Cascais
2021-12;Lisboa e Vale do Tejo;Estuário do Tejo;38.9528113,-8.9911154;Masculino;<20;1;2021-12/<20/Masculino/Estuário do Tejo
2021-12;Lisboa e Vale do Tejo;Estuário do Tejo;38.9528113,-8.9911154;Masculino;20-34;13;2021-12/20-34/Masculino/Estuário do Tejo
2021-12;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Masculino;20-34;5;2021-12/20-34/Masculino/Arco Ribeirinho
2021-12;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;<20;4;2021-12/<20/Feminino/Arco Ribeirinho
2021-12;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;50-64;37;2021-12/50-64/Feminino/Arco Ribeirinho
2021-12;Lisboa e Vale do Tejo;Oeste Norte;39.410844,-9.1396215;Feminino;35-49;9;2021-12/35-49/Feminino/Oeste Norte
2021-12;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Masculino;20-34;6;2021-12/20-34/Masculino/Médio Tejo
2021-12;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Feminino;<20;5;2021-12/<20/Feminino/Médio Tejo
2021-12;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Feminino;50-64;57;2021-12/50-64/Feminino/Médio Tejo
